EM304_MKII_FM_45dB_1x1deg_Warm
0.0, 0.0
387.624051, 2.129497
679.509632, 3.716021
968.476357, 5.327930
1216.579101, 6.679649
1508.464682, 8.278866
1806.187974, 9.878082
2042.615295, 10.036735
2430.823117, 10.303271
2804.436661, 10.468270
3271.453590, 10.633268
3650.904845, 10.715767
3852.305896, 10.760190
3939.871570, 10.106542
4173.380035, 10.690383
4421.482779, 11.312301
4617.046118, 11.819988
4754.232341, 12.067486
5624.051372, 12.111909
6309.982487, 12.048448
6788.674839, 11.940564
7646.818447, 11.680374
8318.155283, 11.375762
8881.494454, 11.064803
9614.127262, 10.544423
10162.872154, 10.081158
10591.943958, 9.636931
10953.882078, 9.243473
