X,Y,X_Pixel,Y_Pixel
2.3350846468184137,-0.009138381201046049,333.71913580246917,1163.1944444444446
387.62405137186215,2.129496663765592,397.37654320987656,1000.6751543209878
679.509632224168,3.7160211778357986,445.60185185185185,880.1118827160494
968.4763572679511,5.327930084131128,493.34490740740745,757.6195987654321
1216.5791009924114,6.679648970118944,534.3364197530865,654.8996913580247
1508.4646818447172,8.27886568030171,582.5617283950618,533.371913580247
1806.187974314069,9.87808239048448,631.7515432098766,411.84413580246917
2042.6152948044369,10.0367348418915,670.8140432098766,399.78780864197535
2430.8231173380036,10.303270960255293,734.9537037037037,379.5331790123457
2804.436660828955,10.468269509718596,796.6820987654321,366.9945987654321
3271.4535901926447,10.633268059181898,873.8425925925926,354.45601851851853
3650.9048453006426,10.715767333913549,936.5354938271605,348.1867283950617
3852.3058960887342,10.760190020307512,969.8109567901236,344.8109567901235
3939.8715703444254,10.10654192051059,984.278549382716,394.483024691358
4173.38003502627,10.690382941688425,1022.8587962962963,350.11574074074076
4421.48277875073,11.312300551203945,1063.8503086419753,302.85493827160496
4617.0461179217755,11.819988395706412,1096.1612654320988,264.2746913580247
4754.232340922359,12.067486219901363,1118.8271604938273,245.46682098765433
5624.051371862231,12.11190890629533,1262.5385802469136,242.09104938271605
6309.982486865149,12.048447925732521,1375.8680555555557,246.9135802469136
6788.674839462932,11.940564258775746,1454.9575617283951,255.1118827160494
7646.818447168712,11.680374238468232,1596.7399691358025,274.8842592592593
8318.155283129016,11.375761531766754,1707.6581790123457,298.03240740740745
8881.494454173966,11.064802727008994,1800.7330246913582,321.66280864197535
9614.127262113254,10.544422686393965,1921.7785493827162,361.2075617283951
10162.87215411559,10.081157528285466,2012.4421296296298,396.41203703703707
10591.943957968479,9.636930664345806,2083.3333333333335,430.1697530864198
10953.882078225337,9.243472584856397,2143.132716049383,460.06944444444446
