45 dB theoretical - EM304 MKII - 1x1 - Warm - Rock
0.0, 0.0
387.624051, 2129.496664
679.509632, 3716.021178
968.476357, 5327.930084
1216.579101, 6679.648970
1508.464682, 8278.865680
1806.187974, 9878.082390
2042.615295, 10036.734842
2430.823117, 10303.270960
2804.436661, 10468.269510
3271.453590, 10633.268059
3650.904845, 10715.767334
3852.305896, 10760.190020
3939.871570, 10106.541921
4173.380035, 10690.382942
4421.482779, 11312.300551
4617.046118, 11819.988396
4754.232341, 12067.486220
5624.051372, 12111.908906
6309.982487, 12048.447926
6788.674839, 11940.564259
7646.818447, 11680.374238
8318.155283, 11375.761532
8881.494454, 11064.802727
9614.127262, 10544.422686
10162.872154, 10081.157528
10591.943958, 9636.930664
10953.882078, 9243.472585
