45 dB theoretical - EM304 MKII - 1x1 - Warm - Mud
0.0, 0.0
176.882662, 984.660574
334.500876, 1845.191471
499.124343, 2720.953003
583.187391, 2888.489991
691.768827, 3025.565709
737.302977, 3094.103568
747.810858, 3855.635335
817.863398, 3977.480418
940.455342, 4160.248042
1077.057793, 4297.323760
1203.152364, 4426.784160
1213.660245, 5180.700609
1227.670753, 5949.847694
1430.823117, 6140.230635
1683.012259, 6300.152306
1935.201401, 6406.766754
2187.390543, 6505.765883
2460.595447, 6513.381201
2754.816112, 6513.381201
3035.026270, 6467.689295
3248.686515, 6399.151436
3486.865149, 6292.536989
3686.514886, 6193.537859
3844.133100, 6109.769365
3952.714536, 7244.451697
4113.835377, 7153.067885
4425.569177, 7000.761532
4698.774081, 6810.378590
5017.513135, 6574.303742
5371.278459, 6254.460400
5651.488616, 5957.463011
5935.201401, 5637.619669
6211.908932, 5294.930374
6537.653240, 4853.241950
6817.863398, 4442.014795
7017.513135, 4122.171453
7255.691769, 3779.482158
7563.922942, 3284.486510
7784.588441, 2934.181897
7935.201401, 2743.798956
8197.898424, 2667.645779
8443.082312, 2568.646649
8733.800350, 2431.570931
9059.544658, 2294.495213
9371.278459, 2142.188860
9732.049037, 2012.728460
9998.248687, 1852.806789
