45 dB theoretical - EM304 MKII - 1x1 - Warm Sand
0.0, 0.0
436.791594, 2401.566580
769.681261, 4243.864230
993.625219, 5507.154047
1187.306480, 5744.020888
1229.674256, 6665.169713
1308.357268, 7178.381201
1399.145359, 7731.070496
1750.192644, 8020.574413
2192.028021, 8283.759791
2645.968476, 8389.033943
3033.330998, 8454.830287
3426.746060, 8481.148825
3850.423818, 8441.671018
3935.159370, 9599.686684
4340.679510, 9547.049608
4909.618214, 9441.775457
5369.611208, 9270.704961
5805.394046, 9073.315927
6186.704028, 8849.608355
6604.329247, 8573.263708
7082.479860, 8204.804178
7542.472855, 7810.026110
8008.518389, 7309.973890
8529.036778, 6717.806789
8976.924694, 6138.798956
9370.339755, 5533.472585
9751.649737, 5007.101828
10139.012259, 4401.775457
10484.007005, 3809.608355
10980.315236, 3401.671018
